code,locale,name,descr
327,fi,name-29173471,descr-29173471
327,cs,name-29173472,descr-29173472
840,en,US Dollar,United States Currency
840,fr,Dollar Américain,Devise des États-Unis
124,en,Canadian Dollar,Canada Currency
124,fr,Dollar Canadien,Devise Canadienne
826,en,British Pound,United Kingdom Currency
826,fr,Livre Sterling,Devise du Royaume-Uni
978,en,Euro,European Union Currency
978,fr,Euro,Devise de l'Union Européenne
392,en,Japanese Yen,Japan Currency
392,fr,Yen Japonais,Devise du Japon
156,en,Chinese Yuan,China Currency
156,fr,Yuan Chinois,Devise de la Chine
356,en,Indian Rupee,India Currency
356,fr,Roupie Indienne,Devise Indienne
986,en,Brazilian Real,Brazil Currency
986,fr,Réal Brésilien,Devise Brésilienne
484,en,Mexican Peso,Mexico Currency
484,fr,Peso Mexicain,Devise Mexicaine
752,en,Swedish Krona,Sweden Currency
752,fr,Couronne Suédoise,Devise Suédoise
